20 122mm 9P138 Grad-1: 15 destroyed, 4 damaged, 0 abandoned, 1 captured
5 122mm 2B26 Grad-K: 4 destroyed, 1 damaged, 0 abandoned, 0 captured
19 122mm 2B17 Tornado-G: 9 destroyed, 2 damaged, 0 abandoned, 8 captured
2 MT-LB with 140mm Ogon-18 MRLS: 1 destroyed, 1 damaged, 0 abandoned, 0 captured
29 220mm TOS-1A: 21 destroyed, 5 damaged, 0 abandoned, 3 captured
86 220mm BM-27 Uragan: 76 destroyed, 4 damaged, 0 abandoned, 6 captured
2 300mm BM-30 Smerch: 2 destroyed, 0 damaged, 0 abandoned, 0 captured
1 T-72 hull with RBU-6000 MRLS: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
1 Ural-4320 with RBU-6000 MRLS: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
4 Unknown MRLS: 4 destroyed, 0 damaged, 0 abandoned, 0 captured
20 23mm ZU-23-2: 5 destroyed, 0 damaged, 0 abandoned, 15 captured
2 57mm AZP S-60: 2 destroyed, 0 damaged, 0 abandoned, 0 captured
12 Ural-4320 with 23mmZU-23-2: 11 destroyed, 0 damaged, 0 abandoned, 1 captured
11 Ural-4320 with 57mm AZP S-60: 10 destroyed, 1 damaged, 0 abandoned, 0 captured
1 Ural-43206 with 23mmZU-23-2: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
6 KamAZ 6x6 with 23mmZU-23-2: 4 destroyed, 0 damaged, 0 abandoned, 2 captured
3 BTR-ZD Skrezhet: 2 destroyed, 0 damaged, 0 abandoned, 1 captured
8 ZSU-23-4 Shilka: 2 destroyed, 0 damaged, 1 abandoned, 5 captured
14 2K22M1 Tunguska: 10 destroyed, 2 damaged, 1 abandoned, 1 captured
25 9K33 Osa: 16 destroyed, 4 damaged, 1 abandoned, 4 captured
47 9K35 Strela-10: 38 destroyed, 3 damaged, 2 abandoned, 4 captured
1 9K334 Gibka-S: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
10 9A39M1-2 TEL (for Buk-M1-2): 8 destroyed, 2 damaged, 0 abandoned, 0 captured
14 9A317 TELAR (for Buk-M2): 11 destroyed, 2 damaged, 0 abandoned, 1 captured
9 9A316 TEL (for Buk-M2): 6 destroyed, 0 damaged, 0 abandoned, 3 captured
13 Unknown Buk M1-2/M2/M3 TEL(AR): 12 destroyed, 1 damaged, 0 abandoned, 0 captured
5 9A317M TELAR (for Buk-M3): 4 destroyed, 1 damaged, 0 abandoned, 0 captured
11 9A330 TLAR (for 9K330 Tor): 2 destroyed, 2 damaged, 0 abandoned, 7 captured
