5 ZSU-23-4 Shilka: 1 destroyed, 1 damaged, 1 abandoned, 2 captured
7 2K22M Tunguska-M: 3 destroyed, 3 damaged, 0 abandoned, 1 captured
3 Ural-4320 with Zu-23-2: 3 destroyed, 0 damaged, 0 abandoned, 0 captured
8 GAZ-66 with Zu-23-2: 7 destroyed, 1 damaged, 0 abandoned, 0 captured
131 with Zu-23-2: 3 destroyed, 0 damaged, 0 abandoned, 1 captured
2 KrAZ-6322 with S-60: 2 destroyed, 0 damaged, 0 abandoned, 0 captured
1 KamAZ 6x6 with S-60: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
1 DAF YAD 4442 NTwith Zu-23-2 AA gun: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
1 DAF YAD 4442 NTwith Zastava M75 AA gun: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
21 9K33 Osa: 14 destroyed, 4 damaged, 0 abandoned, 3 captured
31 9K35 Strela-10: 26 destroyed, 4 damaged, 1 abandoned, 0 captured
3 Stormer HVM: 0 destroyed, 3 damaged, 0 abandoned, 0 captured
16 9A310M1 TELAR (for Buk-M1): 11 destroyed, 4 damaged, 0 abandoned, 1 captured
6 9A39M1 TEL (for Buk-M1): 5 destroyed, 1 damaged, 0 abandoned, 0 captured
1 9A330 Tor TLAR (for 9K330 Tor): 0 destroyed, 1 damaged, 0 abandoned, 0 captured
73 launcher (for S-125-2D 'Pechora-2D'): 1 destroyed, 0 damaged, 0 abandoned, 0 captured
32 5P851A (Launcher for S-300PT-1A): 32 destroyed, 0 damaged, 0 abandoned, 0 captured
2 5P85D (launcher for S-300PS): 1 destroyed, 0 damaged, 0 abandoned, 1 captured
20 5P85S (launcher for S-300PS): 18 destroyed, 1 damaged, 0 abandoned, 1 captured
22 5P85D/S (launcher for S-300PS): 21 destroyed, 1 damaged, 0 abandoned, 0 captured
2 Launcher for S-300: 2 destroyed, 0 damaged, 0 abandoned, 0 captured
3 command cabin (for 70P6 S-300PT): 3 destroyed, 0 damaged, 0 abandoned, 0 captured
1 AIM-132 ASRAAM based on Supacat HMT: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
2 NASAMS launcher: 2 destroyed, 0 damaged, 0 abandoned, 0 captured
45 8x8 launcher (for IRIS-T SLM): 1 destroyed, 0 damaged, 0 abandoned, 0 captured
901 launcher (for MIM-104 Patriot): 2 destroyed, 0 damaged, 0 abandoned, 0 captured
1 P-14'Tall King': 0 destroyed, 1 damaged, 0 abandoned, 0 captured
12 P-18 'Spoon Rest D': 9 destroyed, 2 damaged, 0 abandoned, 1 captured
14 P-18 'Malakhit': 11 destroyed, 2 damaged, 0 abandoned, 1 captured
18 Mobile 3D Surveillance Radar: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
